Name,mlbID,Lev,Tm,Age,G,GS,W,SV,IP,H,ER,BB,SO,HR,ERA,WHIP,BF,SO/W,SB,PO,team_abbr
Mason Fluharty,689254,Maj-AL,Toronto,23,1,0,,,1.0,1,0,0,1,0,0.0,1.0,4,,0,0,TOR
Ian Gibaut,664139,Maj-NL,Cincinnati,31,1,0,,,1.1,0,0,0,1,0,0.0,0.0,5,,1,0,CIN
Logan Gilbert,669302,Maj-AL,Seattle,28,1,1,,,5.0,5,3,1,10,0,5.4,1.2,21,10.0,1,0,SEA
Chad Green,643338,Maj-AL,Toronto,34,1,0,1.0,,0.1,0,0,0,1,0,0.0,0.0,1,,0,0,TOR
Tom Harrington,802419,Maj-NL,Pittsburgh,23,1,1,,,4.0,7,6,4,2,1,13.5,2.75,23,0.5,1,0,PIT
Brent Headrick,687396,Maj-AL,New York,27,1,0,,,0.2,1,0,0,1,0,0.0,1.5,3,,0,0,NYY
Ryan Helsley,664854,Maj-NL,St. Louis,30,1,0,,,1.0,0,0,0,1,0,0.0,0.0,3,,0,0,STL
Kyle Hendricks,543294,Maj-AL,Los Angeles,35,1,1,,,6.0,7,2,0,4,1,3.0,1.167,24,,2,0,LAA
Ronny Henriquez,678692,Maj-NL,Miami,25,1,0,,,2.0,1,0,0,2,0,0.0,0.5,7,,0,0,MIA
Daysbel Hern\xc3\xa1ndez,678226,Maj-NL,Atlanta,28,1,0,,,1.0,0,0,0,0,0,0.0,0.0,3,,0,0,ATL
Tim Hill,657612,Maj-AL,New York,35,1,0,,,0.1,2,2,0,0,0,54.0,6.0,3,,0,0,NYY
Porter Hodge,687863,Maj-NL,Chicago,24,1,0,,,1.0,0,0,1,0,0,0.0,1.0,3,0.0,0,0,CHC
Jeff Hoffman,656546,Maj-AL,Toronto,32,1,0,,1.0,1.0,0,0,0,1,0,0.0,0.0,3,,0,0,TOR
Kenley Jansen,445276,Maj-AL,Los Angeles,37,1,0,,,1.0,0,0,0,1,0,0.0,0.0,3,,0,0,LAA
Griffin Jax,643377,Maj-AL,Minnesota,30,1,0,,,1.0,2,0,0,2,0,0.0,2.0,5,,0,0,MIN
Pierce Johnson,572955,Maj-NL,Atlanta,34,1,0,,,1.0,1,0,0,2,0,0.0,1.0,4,,2,0,ATL
