Name,Age,mlbID,Lev,Tm,team_abbr,G,GS,W,SV,IP,H,ER,BB,SO,HR,ERA,WHIP,BF,SO/W,SB,PO,position,depth
Joel Hurtado,25,805871,"AA,AAA",LAA,"LAA (AA,AAA)",26.0,26.0,7.0,0.0,121.0,112.0,41.0,0.08219178,81.0,7.0,3.049587113358518,1.2727274131631756,,,,,P,
Daniel Guerra,22,806413,"A,A+",TOR,"TOR (A,A+)",29.0,20.0,5.0,2.0,113.1,85.0,44.0,0.11949686,122.0,12.0,3.4941177450661867,1.2529412116146428,,,,,P,
Ian Mejia,26,681256,"A+,AA,AAA",ATL,"ATL (A+,AA,AAA)",33.0,20.0,12.0,2.0,146.2,121.0,54.0,0.08637874,125.0,17.0,3.31363633490791,1.179545444319071,,,,,P,
John Michael Bertrand,28,802609,"AA,AAA",SFG,"SFG (AA,AAA)",34.0,32.0,11.0,0.0,176.2,175.0,62.0,0.08981233,118.0,16.0,3.1584907479046946,1.3698113996289178,,,,,P,
Michael Sansone,26,806333,"A,A+,AA,AAA",BOS,"BOS (A,A+,AA,AAA)",34.0,10.0,5.0,3.0,115.2,108.0,47.0,0.05319149,101.0,13.0,3.657060538833687,1.149855914101372,,,,,P,
Jacob Miller,22,702571,AA,MIA,MIA (AA),29.0,28.0,4.0,0.0,145.1,132.0,73.0,0.10584518,131.0,11.0,4.520642419373515,1.3692661209365746,,,,,P,
Blake Adams,25,687060,AA,COL,COL (AA),37.0,16.0,7.0,0.0,112.2,107.0,64.0,0.06609808,101.0,17.0,5.112426410548325,1.2248521608605363,,,,,P,
Grant Kipp,26,805990,AA,CHC,CHC (AA),32.0,28.0,7.0,0.0,133.2,105.0,61.0,0.11403509,141.0,11.0,4.107232232775014,1.2718205456680372,,,,,P,
Devereaux Harrison,25,687288,"AA,AAA",TOR,"TOR (AA,AAA)",45.0,15.0,7.0,0.0,118.0,100.0,55.0,0.13060429,117.0,11.0,4.194915254237288,1.4152542372881356,,,,,P,
Marcus Johnson,25,687189,"A+,AA,AAA",TBR,"TBR (A+,AA,AAA)",29.0,28.0,7.0,0.0,152.1,177.0,77.0,0.03464567,145.0,30.0,4.549234230601485,1.3063457603025908,,,,,P,
Kyle Luckham,26,680734,"AA,AAA",WSN,"WSN (AA,AAA)",34.0,31.0,6.0,0.0,169.2,191.0,87.0,0.07066667,127.0,14.0,4.614931462533756,1.4381140189760364,,,,,P,
Shane Murphy,25,690294,"A+,AA,AAA",CHW,"CHW (A+,AA,AAA)",33.0,30.0,13.0,0.0,174.2,138.0,45.0,0.04896142,129.0,16.0,2.3187024251167605,0.9790076906048544,,,,,P,
Dylan Ray,25,691009,"AA,AAA",ARI,"ARI (AA,AAA)",33.0,33.0,13.0,0.0,164.0,175.0,99.0,0.08647141,141.0,30.0,5.432926892454181,1.445121968026533,,,,,P,
Joe Miller,26,701464,"A+,AA,AAA",DET,"DET (A+,AA,AAA)",33.0,30.0,8.0,0.0,141.1,141.0,54.0,0.08809135,130.0,11.0,3.4386793226268906,1.3797170121651103,,,,,P,
Chris Campos,25,702318,"AA,AAA",LAD,"LAD (AA,AAA)",30.0,23.0,8.0,1.0,132.1,132.0,65.0,0.06071429,117.0,17.0,4.4206551454635665,1.2544081267469267,,,,,P,
Spencer Giesting,24,801517,"AA,AAA",ARI,"ARI (AA,AAA)",28.0,27.0,8.0,0.0,138.2,145.0,81.0,0.10223642,133.0,19.0,5.257211924128307,1.507211649029926,,,,,P,
Jack Choate,25,805257,AA,SFG,SFG (AA),38.0,24.0,9.0,0.0,121.0,103.0,44.0,0.12572534,147.0,13.0,3.2727276338481657,1.3884299052689189,,,,,P,
David Davalillo,25,699314,"A+,AA",TEX,"TEX (A+,AA)",28.0,27.0,7.0,0.0,130.1,102.0,39.0,0.06741573,162.0,9.0,2.6930946948423338,1.0588235552371568,,,,,P,
Dalton Rogers,25,800059,"A+,AA",BOS,"BOS (A+,AA)",26.0,19.0,6.0,0.0,118.0,91.0,39.0,0.1321499,139.0,4.0,2.9745763192674075,1.3389830724907419,,,,,P,
Abraham Gaitan,22,806675,"A,CPX",CIN,"CIN (A,CPX)",23.0,0.0,6.0,2.0,48.2,50.0,27.0,0.07142857,46.0,10.0,4.993150358778133,1.3356163511134924,,,,,P,
Max Alba,26,681294,"A,A+,AA",DET,"DET (A,A+,AA)",29.0,23.0,2.0,0.0,113.2,113.0,58.0,0.06224066,99.0,15.0,4.592375700499706,1.258064607608157,,,,,P,
Michael Prosecky,25,687087,"A+,AA",COL,"COL (A+,AA)",30.0,27.0,11.0,0.0,130.2,112.0,60.0,0.11267606,127.0,13.0,4.132653382955542,1.3469388803706952,,,,,P,
Cameron Weston,25,687721,AAA,BAL,BAL (AAA),38.0,31.0,5.0,0.0,155.2,149.0,81.0,0.12,162.0,18.0,4.683083301381161,1.4967879413193559,,,,,P,
Trace Bright,25,687238,"AA,AAA",BAL,"BAL (AA,AAA)",30.0,22.0,3.0,1.0,113.2,91.0,67.0,0.16302187,120.0,6.0,5.304985277897616,1.5219941178711238,,,,,P,
Ian Koenig,25,701617,"A+,AA",SDP,"SDP (A+,AA)",27.0,27.0,6.0,0.0,131.1,133.0,76.0,0.06939502,92.0,24.0,5.20812202911075,1.3096447207705395,,,,,P,
Brandon White,26,681449,"A+,AA",MIA,"MIA (A+,AA)",29.0,17.0,8.0,1.0,119.0,109.0,52.0,0.06097561,104.0,8.0,3.9327731092436973,1.1680672268907564,,,,,P,
Ryan Ramsey,25,687547,"AA,AAA",KCR,"KCR (AA,AAA)",35.0,27.0,8.0,1.0,148.1,162.0,96.0,0.10549777,143.0,19.0,5.824719300849805,1.570786570715283,,,,,P,
Adam Serwinowski,22,703445,"A+,AA",LAD,"LAD (A+,AA)",32.0,31.0,6.0,0.0,136.1,131.0,76.0,0.11993517,170.0,17.0,5.017115171792825,1.5036675587975572,,,,,P,
Karson Milbrandt,22,703596,"A,A+,AA",MIA,"MIA (A,A+,AA)",28.0,28.0,5.0,0.0,120.1,85.0,35.0,0.11857708,153.0,6.0,2.6177286425024078,1.2049862005169814,,,,,P,
Gabriel Hughes,24,687312,"AA,AAA,CPX",COL,"COL (AA,AAA,CPX)",30.0,28.0,5.0,0.0,130.1,132.0,73.0,0.07871199,120.0,15.0,5.040920387217772,1.3503835436078049,,,,,P,
Trystan Vrieling,25,801639,"A,AA,CPX",NYY,"NYY (A,AA,CPX)",28.0,26.0,3.0,0.0,113.2,112.0,54.0,0.09795918,115.0,11.0,4.275659695501295,1.4076245911115373,,,,,P,
