Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS
Nacho Alvarez Jr. 3B | ATL ,188,18,44,30,12,0,2,15,12,49,0,0,0.234,0.296,0.33,95
Ildemaro Vargas 2B | ARI ,115,12,31,25,2,1,3,19,2,15,0,0,0.27,0.292,0.383,92
Gary Sanchez C | MIL ,91,13,21,14,2,0,5,24,4,27,0,0,0.231,0.297,0.418,92
Jack Suwinski OF | LAD ,150,15,22,12,7,0,3,10,24,57,7,1,0.147,0.281,0.253,91
Jorge Mateo OF | ATL,79,9,14,9,4,0,1,3,4,30,15,2,0.177,0.217,0.266,89
Troy Johnston OF | COL,112,12,31,24,2,1,4,13,8,26,2,2,0.277,0.331,0.42,85
Jon Berti 3B | CHC,100,12,21,19,2,0,0,2,5,22,11,3,0.21,0.262,0.23,84
Christian Encarnacion-Strand 1B | CIN ,130,13,27,17,4,0,6,19,3,32,0,2,0.208,0.234,0.377,81
Dalton Rushing C | LAD,142,15,29,20,5,0,4,24,10,58,0,0,0.204,0.258,0.324,76
Drew Gilbert OF | SF ,100,12,19,10,5,1,3,13,7,20,1,1,0.19,0.248,0.35,74
Will Wagner 3B | SD,129,15,29,22,7,0,0,7,17,28,1,0,0.225,0.324,0.279,73
Bryce Johnson OF | SD,76,9,26,21,4,0,1,8,3,19,4,1,0.342,0.383,0.434,70
Rafael Marchan C | PHI,105,9,22,16,4,0,2,13,10,17,0,0,0.209,0.282,0.305,69
Moises Ballesteros DH | CHC ,57,12,17,12,2,1,2,11,9,12,0,0,0.298,0.394,0.474,68
Kyle Karros 3B | COL ,137,20,31,26,4,0,1,9,15,41,0,0,0.226,0.308,0.277,67
Braxton Fulford C | COL,108,11,23,15,5,2,1,16,7,36,1,0,0.213,0.267,0.324,66
Matt Mervis 1B | WAS ,120,15,21,10,4,0,7,14,11,50,0,0,0.175,0.254,0.383,66
Vidal Brujan 3B | NYM ,87,14,22,17,5,0,0,8,6,21,2,1,0.253,0.305,0.31,64
Enmanuel Valdez 1B | PIT,91,7,19,11,4,2,2,12,11,16,0,0,0.209,0.294,0.363,64
Ryan Fitzgerald 2B | LAD ,46,10,9,5,0,0,4,9,7,8,1,0,0.196,0.302,0.457,63
"Edouard Julien 1B,2B | COL ",182,13,40,27,10,0,3,12,22,61,0,3,0.22,0.309,0.324,63
Liover Peguero SS | PHI ,80,9,16,11,1,0,4,8,6,25,4,0,0.2,0.273,0.362,63
DaShawn Keirsey OF | ATL ,84,11,9,7,0,0,2,6,2,33,10,3,0.107,0.138,0.179,62
Adrian Del Castillo DH | ARI ,120,9,29,19,6,0,4,17,8,47,0,0,0.242,0.29,0.392,59
Jose Fermin 2B | STL ,60,5,17,11,5,0,1,9,8,10,2,2,0.283,0.377,0.417,58
Jesse Winker DH | NYM,70,8,16,8,5,2,1,10,9,21,1,0,0.229,0.309,0.4,56
Drew Millas C | WAS ,49,6,15,9,5,1,0,7,4,7,2,0,0.306,0.358,0.449,55
Sal Stewart 1B | CIN ,55,11,14,8,1,0,5,8,3,15,0,0,0.255,0.293,0.545,55
Griffin Conine OF | MIA,79,13,20,11,7,0,2,8,7,25,0,1,0.253,0.314,0.418,55
Blaine Crim 1B | COL ,65,10,13,6,2,0,5,12,6,28,0,0,0.2,0.27,0.462,53
Ronny Simon OF | PIT ,77,10,18,15,3,0,0,7,8,15,1,0,0.234,0.299,0.273,52
Ben Rortvedt C | NYM,112,9,17,13,3,0,1,10,11,23,0,0,0.152,0.24,0.205,50
Jason Heyward OF | SD ,85,9,15,11,2,0,2,12,6,20,0,1,0.176,0.223,0.271,48
Chas McCormick OF | CHC ,100,13,21,15,5,0,1,5,9,31,2,3,0.21,0.279,0.29,47
Nick Martini DH | COL ,102,9,23,18,4,0,1,4,9,18,0,0,0.226,0.288,0.294,46
Garrett Hampson OF | CIN ,77,19,11,9,2,0,0,1,11,29,3,1,0.143,0.25,0.169,46
Adael Amador 2B | COL,113,5,20,12,7,0,1,10,11,27,1,1,0.177,0.256,0.266,46
Nick Yorke 2B | PIT ,69,7,16,12,3,0,1,8,3,15,1,0,0.232,0.264,0.319,44
Brett Wisely 2B | ATL,54,5,10,5,4,0,1,10,7,14,1,1,0.185,0.279,0.315,43
Daniel Johnson OF | MIA ,53,13,10,6,3,0,1,1,4,13,2,1,0.189,0.246,0.302,43
Joey Wiemer OF | WAS,55,7,13,8,2,0,3,12,2,23,0,0,0.236,0.279,0.436,43
Garrett Mitchell OF | MIL ,68,9,14,9,4,1,0,3,7,25,3,0,0.206,0.286,0.294,42
Luke Williams SS | ATL ,31,5,4,2,2,0,0,5,1,9,5,0,0.129,0.176,0.194,42
Martin Maldonado C | SD,147,11,30,20,6,0,4,12,8,57,0,0,0.204,0.245,0.327,42
Tyler Locklear 1B | ARI ,103,11,18,15,0,0,3,6,10,43,3,1,0.175,0.267,0.262,41
Nathan Church OF | STL ,56,9,10,8,1,0,1,8,3,18,1,0,0.179,0.254,0.25,41
Blake Dunn OF | CIN,60,10,9,6,2,0,1,7,8,25,1,1,0.15,0.32,0.233,40
Eric Haase C | SF ,70,11,16,11,3,0,2,9,4,31,0,0,0.229,0.289,0.357,39
Jordan Lawlar 3B | ARI ,66,9,12,5,7,0,0,5,6,26,2,0,0.182,0.257,0.288,38
Sam Hilliard OF | COL,51,8,10,4,3,1,2,3,10,23,2,1,0.196,0.328,0.412,37
Alex Freeland 3B | LAD ,84,10,16,11,2,1,2,6,11,35,1,0,0.191,0.292,0.309,37
Maximo Acosta 3B | MIA,54,7,11,7,1,0,3,5,6,17,1,2,0.204,0.295,0.389,36
Travis Jankowski OF | NYM,45,8,11,9,2,0,0,2,3,12,2,0,0.244,0.286,0.289,34
Jacob Amaya SS | ARI ,66,7,7,6,1,0,0,8,3,16,2,0,0.106,0.139,0.121,34
Dominic Fletcher OF | PIT ,32,5,7,1,5,0,1,2,2,2,1,0,0.219,0.265,0.469,33
Jerar Encarnacion OF | SF,55,5,11,6,3,0,2,7,1,15,1,0,0.2,0.214,0.364,32
Jared Young DH | NYM,43,5,8,3,1,0,4,6,2,16,0,0,0.186,0.234,0.488,29
Esteury Ruiz OF | MIA ,21,2,4,3,0,0,1,2,2,8,4,0,0.191,0.261,0.333,29
Jorge Barrosa OF | ARI ,71,8,10,6,3,0,1,7,2,22,0,0,0.141,0.169,0.225,26
Sean Bouchard OF | COL ,66,7,11,9,0,1,1,7,7,27,1,1,0.167,0.247,0.242,25
Daz Cameron OF | MIL,41,7,8,6,1,0,1,3,1,13,1,0,0.195,0.214,0.293,24
Jose Azocar OF | ATL ,19,5,5,5,0,0,0,1,2,1,1,0,0.263,0.333,0.263,23
Mason McCoy SS | SD,22,5,3,2,1,0,0,1,3,7,2,0,0.136,0.269,0.182,23
Ji-Hwan Bae OF | NYM ,20,4,1,1,0,0,0,0,5,9,4,1,0.05,0.24,0.05,23
Brian Navarreto C | MIA ,14,3,4,1,2,0,1,5,0,3,0,0,0.286,0.267,0.643,22
