Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS
Jarryd Dale DH | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eduardo Garcia SS | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luis Toribio 3B | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Sepulveda 2B | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morgan Lofstrom C | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Tancas 1B | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad McClanahan 3B | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Johnson OF | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor Hurtado OF | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Matheus SS | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dylan Jasso 3B | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simon Whiteman SS | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanner Thach 1B | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bubba Hollins 3B | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Hernandez C | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Medina OF | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B.J. Lopez C | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luis Jean SS | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Santiago SS | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brailyn Antunez OF | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ariel Armas C | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefrey De Los Santos SS | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelvin Melean SS | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank Rodriguez C | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edmond Americaan OF | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maxwell Romero C | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Levi Hyams 1B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Weisenburger C | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demitrio Nadal 3B | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Hoo C | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Irving Wilson C | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jose Rodriguez 2B | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Penalver 2B | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colby Jones SS | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen Gaylor OF | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dylan Davis OF | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colin Bray OF | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.J. Artis OF | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Hurley OF | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Dixon 1B | SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luis Chevalier 3B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
River Stevens 2B | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Peurifoy OF | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vito Friscia C | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott Burcham SS | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maxx Tissenbaum 2B | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Cluff OF | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cody Wilson OF | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cody Bohanek SS | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brad Haynal C | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norel Gonzalez OF | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carson DeMartini 3B | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Jones OF | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taylor Motter 2B | STL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nerwilian Cedeno OF | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Ciriaco SS | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aderlin Rodriguez 3B | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Will Verdung 2B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Martin C | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ricardo Valenzuela C | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyson Lewis SS | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalin Flores SS | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan Taylor OF | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omar Carrizales OF | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberts Aponte SS | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miguel Ugueto OF | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evan Longoria 3B | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny Edgeworth 3B | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen Perez SS | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Procyshen C | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Schnell OF | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Reichenborn OF | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albert Almora OF | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cam Maron C | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrian Sugastey C | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Garcia 3B | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DJ Stewart OF | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Diaz SS | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruce Caldwell 2B | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnathon Thomas OF | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan Ratledge SS | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Vetrano 1B | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Yarbrough 2B | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harold Ramirez DH | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maikis De La Cruz OF | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Silverio SS | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myles Schroder C | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shalin Polanco OF | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nate Easley 2B | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mylz Jones SS | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marquez Smith 3B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forrest Wall OF | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Edgerton 3B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jhonny Level SS | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Rizzie C | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geraldo Quintero OF | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trey Snyder 2B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Giansanti OF | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wendell Rijo 2B | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devin Saltiban OF | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryce Windham 2B | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Fischer 3B | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wyatt Sanford SS | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francisco Renteria OF | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Ely 2B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dale Burdick 2B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Troy Schreffler OF | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.P. Martinez OF | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erik Forgione 2B | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brody Moore 2B | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ivan Johnson OF | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taylor Young 2B | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jared Serna SS | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simon Muzziotti OF | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aldemar Burgos OF | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erik Gonzalez SS | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orelvis Martinez 2B | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JT Schwartz 1B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Leonard 1B | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hector Vargas 2B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jimmy Glowenke SS | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jiandido Tromp OF | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Glenn C | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luis Alejandro Basabe 2B | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sir Jamison Jones C | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Baker SS | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dilson Herrera 2B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Modeifi Marte 1B | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubi Silva OF | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junior Arrojo 2B | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Braxton Davidson OF | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeferson Espinal OF | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balbino Fuenmayor 1B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luis Pintor SS | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Lamb 1B | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rafael Ramirez 2B | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ji-Man Choi DH | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jesse Medrano 3B | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Davis 1B | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dickie Joe Thon 2B | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJ Lewis C | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremias Portorreal OF | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leandro Santana 3B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Filippo Di Turi 3B | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jose Alexander Martinez SS | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josiah Sightler 1B | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raywilly Gomez C | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeffrey Ramos OF | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luis Rodriguez OF | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris O'Dowd C | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roby Enriquez OF | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rosman Verdugo 3B | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emaarion Boyd OF | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jose Vinicio SS | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francisco Hernandez 3B | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bo Davidson OF | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parker Chavers OF | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Franco 3B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy de la Rosa OF | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gian Zapata OF | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jauri Custodio OF | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramon Hernandez 1B | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandt Stallings 1B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor Victor Mesa OF | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cam Gallagher C | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jorgelys Mota 3B | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Mora OF | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cassidy Brown C | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Suero OF | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamari Baylor SS | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estuar Suero OF | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.J. Wilson OF | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shane Matheny 3B | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parker Berberet C | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connor Sabanosh C | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Daniel 2B | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drew Ward 3B | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rene Pinto C | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Sohn SS | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilson Garcia C | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Kennelly C | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devin Ortiz 3B | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Felipe Blanco 3B | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gioskar Amaya SS | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garrett Whitley OF | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelvin Hidalgo SS | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghordy Santos SS | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambioris Tavarez 2B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kehden Hettiger C | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angel Feliz SS | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Randolph Gassaway 1B | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt McLaughlin SS | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miles Gordon OF | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bligh Madris 1B | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kervin Pichardo SS | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trevor Cohen OF | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Villavicencio SS | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicholas Shumpert SS | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander Perez SS | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Stassi C | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedro Ramirez 3B | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kellum Clark OF | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Sullivan OF | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.J. Franco 2B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Randy Reyes OF | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan Moore C | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebastian Elizalde OF | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Bitonti 1B | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Cruz OF | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chase Harlan 3B | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.J. Vukovich OF | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marco Dinges C | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfredo Lopez SS | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Toerner OF | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connor Panas 3B | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaige Howard OF | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Belza 2B | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robelys Reyes SS | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eguy Rosario 3B | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Randy Ventura 2B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Medrano 2B | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex McGarry OF | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Compton OF | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kemp Alderman OF | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kody Hoese 3B | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelson Ward SS | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robby Martin OF | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colin Houck 3B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yahil Melendez SS | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
William Simoneit C | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Ciriaco SS | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Miller 2B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andres Sthormes C | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ricardo Marcano OF | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Jagielo 1B | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blake Hunt C | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turner Hill OF | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Barrett OF | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrick Nava C | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Hipwell 1B | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Macias SS | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Rickles C | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cory Vaughn OF | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Ritter 3B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jared Mckenzie OF | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Hankerd OF | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Tolve C | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Paulino C | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claudio Finol 3B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Benjamin 3B | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.B. Woodman OF | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dustin Martin OF | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Wren OF | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Rodriguez 1B | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jose Cardona OF | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leury Garcia 2B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jose Sanchez SS | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quin Cotton OF | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole Daily SS | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TJ Rumfield 1B | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Callahan 3B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie Valerio C | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jesus Castillo SS | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drew Bowser 3B | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joshua Zamora 3B | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio Campana OF | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Van Horn SS | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacob Reimer 3B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omar Alfonzo C | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Vasquez SS | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francisco Acuna SS | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jhailyn Ortiz OF | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reshard Munroe OF | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coy James SS | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omar Obregon 2B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Branden Boissiere 1B | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skyler Messinger 3B | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Truitt Madonna C | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jansel Luis 2B | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Franklin 3B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JJ Wetherholt SS | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Herrera SS | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ian Petrutz OF | STL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyler Castillo OF | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shawn Ross SS | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K.J. Woods 1B | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Jackson C | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Irving Lopez 2B | STL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edwin Arroyo SS | CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steele Hall SS | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Byler 1B | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jace Grady OF | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
